,Binomial,Leaf Relative water content (water content / water content at saturation),Leaf Water content (molar) per leaf dry mass (WCd),Leaf Water content saturating (molar) (WCs),Leaf Water content total (molar) (WCt),Leaf area index of the site (LAI),Leaf area: in case of compound leaves undefined if leaf or leaflet; undefined if petiole and rhachis in- or excluded,Leaf carbon content per area,Leaf carbon content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf carotenoid content per dry mass,Leaf chlorophyll a content per dry mass,Leaf chlorophyll a+b content per area,Leaf chlorophyll a/b ratio,Leaf chlorophyll b content per dry mass,Leaf chlorophyll content (a+b) per dry mass,Leaf compoundness,Leaf dry matter content per leaf water-saturated mass (LDMC),Leaf lamina thickness,"Leaf lifespan (longevity, retention time, LL)",Leaf nitrogen content per area (Narea),Leaf nitrogen content per dry mass (Nmass),Leaf petiole length,Leaf phenology type,Leaf phosphorus content per area (Parea),Leaf phosphorus content per dry mass (Pmass),Leaf position,Leaf respiration per area at leaf temperature,Leaf respiration per dry mass,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf thickness,Leaf tissue density,Leaf transpiration (molar) per dry mass,Leaf transpiration rate per dry mass (daytime),Leaf water content per leaf dry mass,"Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)",Leaf water content saturating,Leaf water content total,Leaf water saturation deficit
950,Orobanche elatior,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,truncate,sessile,,,,,,,,,
951,Orobanche hederae,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,truncate,sessile,,,,,,,,,
952,Orobanche minor,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,truncate,sessile,,,,,,,,,
953,Orobanche rapum-genistae,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,truncate,sessile,,,,,,,,,
954,Orobanche reticulata,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,truncate,sessile,,,,,,,,,
955,Pilosella peleteriana,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
956,Polemonium caeruleum,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
957,Rhynchospora fusca,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
958,Ruppia maritima,,,,,,,,,,,,,,,,simple,,,,,,,,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
959,Salicornia dolichostachya,,,,,,,,,,,,,,,,simple,,,,,>30,,,,,,,,entire,rounded,shorter than broad,not applicable,sessile,,,,,,,,,
960,Salicornia emerici,,,,,,,,,,,,,,,,simple,,,,,>30,,,,,,,,entire,rounded,shorter than broad,not applicable,sessile,,,,,,,,,
961,Salicornia obscura,,,,,,,,,,,,,,,,simple,,,,,>30,,,,,,,,entire,rounded,shorter than broad,not applicable,sessile,,,,,,,,,
962,Sarcocornia perennis,,,,,,,,,,,,,,,,simple,,,,,1.84,,,,,,,,entire,rounded,shorter than broad,not applicable,sessile,,,,,,,,,
963,Sasa palmata,,,,,,,,,,,,,,,,simple,,,>24,,,0.0,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
964,Schoenoplectus lacustris,,,,,,,,,,,,,,,,simple,,,,,,,,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
965,Scleranthus perennis,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,connate,,,,,,,,,
966,Sparganium angustifolium,,,,,,,,,,,,,,,,simple,,,,,,,,,,floating,,,entire,rounded,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
967,Symphyotrichum novi-belgii,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,clasping,,,,,,,,,
968,Ulex minor,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,not applicable,,,,,,,,,,
969,Vallisneria spiralis,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,submerged,,,entire,rounded,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
970,Vulpia unilateralis,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
971,Zannichellia palustris,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
972,Cakile maritima,,1700.248867,,,3.219583273,01-Oct,,,,,,,,,,compound,80.575,,,,,,,,,,,,lobed,rounded,1-3 times as long as wide,not applicable,petiolate,,,,,11.41106622,91.9425,,,
973,Geranium robertianum,,1369.042135,,,1.768472195,01-Oct,,44.25811667,16.35106786,,,,,,,compound,98.15274331,,,,2.706741667,,evergreen,,01-Feb,,,,lobed,pointed,length = width,cuneate,petiolate,,,,,9.188202247,90.18472567,,,
974,Ranunculus peltatus,,1444.078524,,,1.362361074,01-Oct,,,,,,,,,,simple,103.085,,,,,,,,,submerged,,,lobed,rounded,shorter than broad,cordate,petiolate,,,,,9.691802177,89.6915,,,
975,Ranunculus peltatus,,1224.416573,,,2.104583263,01-Oct,,,,,,,,,,simple,109.09,0.2-0.5,,,,,,,,submerged,,,lobed,rounded,length = width,cordate,petiolate,,,,,8.217560892,89.091,,,
976,Teucrium botrys,,995.3053529,,,1.64402771,01-Oct,,,,,,,,,,compound,130.21,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,6.679901697,86.979,,,
977,Oxalis stricta,,721.4736842,,,1.557500005,01-Oct,,44.765,12.11829995,,,,,,,compound,171.1711712,,,,3.694,65.0,,,,,,,lobed,emarginate,length = width,cuneate,petiolate,0.08,218.0632665,,,4.842105263,82.88288288,,,
978,Ranunculus circinatus,,708.8787084,,,1.830694437,01-Oct,,,,,,,,,,compound,173.945,0.2-0.5,,,,5.0,evergreen,,,submerged,,,lobed,pointed,length = width,not applicable,petiolate,,,,,4.757575224,82.6055,,,
979,Populus tremula,,271.329862,,,1.5625,01-Oct,,50.31,22.9075304,1.1,,,,,4.35,simple,354.555,,,,2.504892414,30.0,aestival,,0.2765,,,,lobed,pointed,1-3 times as long as wide,truncate,petiolate,0.165,373.4803003,,,1.821005785,64.5445,,,
980,Potentilla argentea,,265.0813954,,,1.548888922,01-Oct,,,,1.08,,,,,4.61,compound,359.832636,,18,,,0.0,,,,,,,lobed,pointed,length = width,cuneate,petiolate,0.148,475.0,,,1.779069767,64.0167364,,,
981,Oxalis corniculata,,,,,0.58034721,01-Oct,,,,,,,,,,compound,,,,,,45.0,,,,,,,lobed,emarginate,length = width,cuneate,petiolate,0.146,325.682018,,,,,,,
982,Plantago coronopus,,,,,0.904583335,01-Oct,,41.5054,35.22481541,,,,,,,simple,,1.0-2.0,,,1.1783,,evergreen,,0.1352,,,,lobed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
983,Cardamine hirsuta,,,,,2.327708304,01-Oct,,46.47333333,26.01119402,,,,,,,compound,,,,,1.786666667,,hibernal,,0.318325776,,,,lobed,rounded,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
984,Cardamine flexuosa,,,,,3.219583273,01-Oct,,,,,,,,,,compound,,,,,,,evergreen,,,,,,lobed,rounded,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
985,Teesdalia nudicaulis,,,,,3.219583273,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,lobed,rounded,>3 times as long as wide,not applicable,petiolate,,,,,,,,,
986,Adoxa moschatellina,,,,,,01-Oct,,,,,,,,,,compound,,,,,,,,,,,,,lobed,mucronate,length = width,cordate,petiolate,,,,,,,,,
987,Conopodium majus,,,,,,01-Oct,,,,,,,,,,compound,,,,,,,vernal,,,,,,lobed,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,,,,,
988,Cymbalaria muralis,,,,,,01-Oct,,,,,,,,,,simple,,,,,,40.0,evergreen,,,,,,lobed,pointed,length = width,cordate,petiolate,,,,,,,,,
989,Erodium maritimum,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,lobed,rounded,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
990,Pseudofumaria lutea,,,,,,01-Oct,,,,,,,,,,compound,,,,,,,evergreen,,,,,,lobed,pointed,length = width,cuneate,petiolate,,,,,,,,,
991,Ranunculus hederaceus,,,,,,01-Oct,,,,,,,,,,simple,,0.2-0.5,,,,,,,,floating,,,lobed,rounded,shorter than broad,cordate,petiolate,,,,,,,,,
992,Ranunculus penicillatus,,,,,,01-Oct,,,,,,,,,,simple,,0.5-1.0,,,,,evergreen,,,submerged,,,lobed,rounded,length = width,cordate,petiolate,,,,,,,,,
993,Sibthorpia europaea,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,evergreen,,,,,,lobed,rounded,length = width,cordate,petiolate,,,,,,,,,
994,Tripleurospermum inodorum,,,,,,01-Oct,,,,,,,,,,compound,,,,,,,semi-evergreen,,,,,,lobed,pointed,1-3 times as long as wide,parallel-sided,sessile,,,,,,,,,
995,Wahlenbergia hederacea,,,,,,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,lobed,rounded,length = width,cordate,petiolate,,,,,,,,,
996,Ajuga chamaepitys,,767.9795064,,,1.64625001,0.1-1,,,,,,,,,,simple,162.49,,,,,,,,,,,,lobed,pointed,>3 times as long as wide,not applicable,petiolate,,,,,5.154224875,83.751,,,
997,Veronica verna,,,,,0.964166641,0.1-1,,,,,,,,,,simple,,,,,,0.0,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
998,Aphanes arvensis,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,hibernal,,,,,,lobed,pointed,shorter than broad,truncate,petiolate,,,,,,,,,
999,Cochlearia danica,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,lobed,pointed,length = width,cordate,petiolate,,,,,,,,,
1000,Matricaria discoidea,,,,,,0.1-1,,,,,,,,,,compound,,,,,,0.0,aestival,,,,,,lobed,pointed,1-3 times as long as wide,parallel-sided,sessile,,,,,,,,,
1001,Saxifraga rivularis,,,,,,0.1-1,,,,1.5,,,3.2,,5.428571429,simple,,,,,,,,,,,,,lobed,pointed,length = width,cordate,petiolate,,,,,,,,,
1002,Veronica hederifolia,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,vernal,,,,,,lobed,rounded,length = width,truncate,petiolate,,,,,,,,,
1003,Veronica triphyllos,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1004,Leontodon hispidus,,1066.49501,,,1.338055491,10-100,,45.01666667,20.94351353,,,,,,,simple,122.5838023,,3.24,,2.45,,aestival,,0.21,,,,lobed,rounded,>3 times as long as wide,cuneate,petiolate,,,,,7.157684631,87.74161977,,,
1005,Capsella bursa-pastoris,,812.7272727,,,1.557500005,10-100,,42.002,12.24295887,,,,,,,simple,154.9295775,,,,4.184494681,,semi-evergreen,,0.0881,,,,lobed,pointed,>3 times as long as wide,sagittate,petiolate,,,,,5.454545455,84.50704225,,,
1006,Scorzoneroides autumnalis,,717.7656705,,,1.632500053,10-100,,44.01,19.60442897,1.57,,,,,4.75,simple,172.99,,18,,2.155,,evergreen,,0.6801,,,,lobed,rounded,>3 times as long as wide,cuneate,petiolate,,,,,4.817219265,82.701,,,
1007,Solanum dulcamara,,595.5174089,,,3.219583273,10-100,,,,,,,,,,simple,200.1296386,,,,3.83,50.0,aestival,,0.305,,,,lobed,pointed,1-3 times as long as wide,cordate,petiolate,,,,,3.996761134,79.98703614,,,
1008,Lycopus europaeus,90.02118644,215.8333333,23.32261364,236.5056818,1.382361054,10-100,,46.90776606,25.95169038,,,,,,,simple,204.6783626,,,,1.63737182,,aestival,,8.91E-02,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,0.04995,3.23757764,3.885714286,79.53216374,0.420227273,4.261363636,9.978813559
1009,Artemisia vulgaris,,571.5541443,,,2.101249933,10-100,,42.41666667,9.503360718,,,,,,,compound,206.7852932,,,,2.33,,semi-evergreen,,,,,,lobed,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,3.835933855,79.32147068,,,
1010,Quercus robur,,235.0206186,,,1.964444399,10-100,,49.54904039,23.89008343,,,,3.0665,,3.82105275,simple,388.0,0.2-0.5,06-Dec,,2.87,5.0,aestival,,0.17,,,9.65,lobed,rounded,1-3 times as long as wide,cordate,petiolate,0.21,368.8235351,,,1.577319588,61.2,,,
1011,Quercus petraea,,230.8467553,,,1.472916603,10-100,,48.50942735,23.14709704,,,,,,,simple,392.27137,,06-Dec,,2.6,17.5,aestival,,0.141,,,14.815,lobed,rounded,1-3 times as long as wide,cordate,petiolate,0.216,404.3766317,,,1.549307083,60.772863,,,
1012,Quercus cerris,,190.2057522,,,1.693541706,10-100,,,,,,,,,,simple,439.2614189,,,,2.736666667,17.5,aestival,,0.16,,,,lobed,pointed,1-3 times as long as wide,rounded,petiolate,,,,,1.276548673,56.07385812,,,
1013,Populus alba,,181.7551076,,,0.824166656,10-100,,44.31,17.5041479,,,,,,2.494367214,simple,450.484351,,,,2.35,30.0,aestival,,0.125,,,,lobed,rounded,length = width,cordate,petiolate,0.223,459.1928251,,,1.219832937,54.9515649,,,
1014,Geum rivale,,,,,2.795694351,10-100,,,,1.53,,,,,8.1,compound,,,02-Jun,,2.43,,evergreen,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1015,Artemisia absinthium,,,,,,10-100,,,,,,,,,,compound,,,,,2.21,,evergreen,,,,,,lobed,pointed,1-3 times as long as wide,parallel-sided,petiolate,,,,,,,,,
1016,Coincya wrightii,,,,,,10-100,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,,,,,
1017,Crambe maritima,,1230.224298,,,1.401388884,100-1000,,,,,,,,,,simple,108.395,,06-Dec,,,,aestival,,,,,,lobed,rounded,length = width,not applicable,petiolate,,,,,8.256538911,89.1605,,,
1018,Cirsium eriophorum,,,,,,100-1000,,,,,,,,,,simple,,,,,,0.0,,,,,,,lobed,pointed,>3 times as long as wide,not applicable,petiolate,,,,,,,,,
1019,Utricularia australis,,2303.674897,,,1.939166665,,,,,,,,,,,compound,60.75,,,,,,,,,floating,,,lobed,pointed,>3 times as long as wide,not applicable,petiolate,,,,,15.46090535,93.925,,,
1020,Cotula coronopifolia,,2222.856097,,,1.519861102,,,,,,,,,,,compound,62.82,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,not applicable,sessile,,,,,14.91849729,93.718,,,
1021,Ranunculus fluitans,,1421.901423,,,1.62944448,,,,,,,,,,,compound,94.85,1.0-2.0,,,,200.0,,,,submerged,,,lobed,pointed,>3 times as long as wide,not applicable,petiolate,,,,,9.542962573,90.515,,,
1022,Fumaria vaillantii,,894.2712505,,,2.013333321,,,,,,,,,,,compound,142.82,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,6.001820473,85.718,,,
1023,Bunium bulbocastanum,,843.6715523,,,1.717916727,,,,,,,,,,,compound,150.1,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,5.662225183,84.99,,,
1024,Conium maculatum,,752.991646,,,1.103888869,,,44.618,8.139000365,,,,,,,compound,165.19,,,,5.482,,evergreen,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,0.09,335.7563171,,,5.053635208,83.481,,,
1025,Aethusa cynapium,,729.8486493,,,1.47777772,,,,,,,,,,,compound,169.54,,,,,,aestival,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,4.898313083,83.046,,,
1026,Ranunculus trichophyllus,,720.7985046,,,1.310694456,,,,,,,,,,,compound,171.305,,,,,5.0,,,,submerged,,,lobed,pointed,length = width,not applicable,petiolate,,,,,4.837573857,82.8695,,,
1027,Vitis vinifera,,711.2771363,,,1.006527782,,,,,,,,,,0.988541749,simple,173.2,,,,2.602,,,,,,,,lobed,,,,petiolate,0.207,314.0096618,,,4.773672055,82.68,,,
1028,Aconitum napellus,,710.46571,,,2.255833387,,,,,,,,,,,compound,173.37,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,4.768226242,82.663,,,
1029,Lepidium didymum,,709.1466337,,,1.956944466,,,,,,,,,,,compound,173.63,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,4.75937338,82.637,,,
1030,Gymnocarpium dryopteris,,664.3875517,,,1.729791701,,,49.26605215,29.91623351,0.94,,,,,6.436548223,compound,183.22,,02-Jun,,1.64679996,187.5,aestival,,,,,25.4055881,lobed,rounded,length = width,,petiolate,0.0903,232.5581395,,,4.458976857,81.678,,,
1031,Erodium cicutarium,,530.6234763,,,1.429861069,,,41.541,11.79267974,,,,,,,compound,220.0,,,,1.97,,semi-evergreen,,0.196,,,,lobed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,3.545454546,78.0,,,
1032,Trinia glauca,,510.1042681,,,2.015277863,,,,,,,,,,,compound,226.465,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,3.423518578,77.3535,,,
1033,Artemisia campestris,79.87978615,135.6203008,33.72025117,164.6066373,1.429861069,,,44.914,22.26772434,,,,,,,compound,290.3930131,,36,,1.755,0.0,,,0.309,,,,lobed,pointed,1-3 times as long as wide,parallel-sided,petiolate,,,0.0165,1.068372093,2.443609023,70.96069869,0.607572093,2.965885356,20.12021385
1034,Artemisia maritima,,348.1401335,,,1.393472195,,,,,,,,,,,compound,299.7142857,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,parallel-sided,petiolate,,,,,2.336510963,70.02857143,,,
1035,Thalictrum minus,,345.5155254,,,2.015277863,,,46.302,18.27951046,,,,,,,compound,301.305,,,,2.533,,,,0.3148,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,2.318896143,69.8695,,,
1036,Thalictrum alpinum,,244.4224951,,,1.042847216,,,45.13333334,18.33016273,,,,,,,compound,379.292586,,,,2.34,,,,0.060898155,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,1.64041943,62.0707414,,,
1037,Descurainia sophia,,,,,0.341944456,,,,,,,,,,,compound,,,,,4.694,,,,0.254,,,,lobed,pointed,1-3 times as long as wide,not applicable,petiolate,0.29,99.30099884,,,,,,,
1038,Raphanus raphanistrum,,,,,0.682083309,,,,,,,,,,,compound,,,,,,,aestival,,,,,,lobed,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,,,,,
1039,Adiantum capillus-veneris,,,,,1.086319476,,,,,,,,,,,compound,,,06-Dec,,,15.0,aestival,,0.036,,,10.61571125,lobed,rounded,,,petiolate,0.1218,386.6995074,,,,,,,
1040,Gymnocarpium robertianum,,,,,1.771388888,,,,,0.97,,,,,5.04,compound,,,02-Jun,,,175.0,aestival,,,,,,lobed,rounded,,,petiolate,,,,,,,,,
1041,Quercus canariensis,,,,,2.290555477,,,48.545,24.67736108,,,,,,,simple,,,07-Dec,,3.8665,19.0,semi-evergreen,,0.0978,,,,lobed,acute,1-3x as long as wide,cordate,petiolate,0.26,421.5384615,,,,,,,
1042,Erigeron karvinskianus,,,,,2.298611164,,,,,,,,,,,simple,,,,,1.888,,,,,,,,lobed,pointed,>3 times as long as wide,cuneate,,0.21,179.7516493,,,,,,,
1043,Anogramma leptophylla,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,,cuneate,petiolate,,,,,,,,,
1044,Aphanes australis,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,lobed,pointed,shorter than broad,truncate,petiolate,,,,,,,,,
1045,Arabis scabra,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,lobed,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1046,Artemisia norvegica,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1047,Diplotaxis tenuifolia,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,lobed,pointed,>3 times as long as wide,not applicable,petiolate,,,,,,,,,
1048,Dipsacus pilosus,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1049,Ecballium elaterium,,,,,,,,,,,,,,,,simple,,,,,,,aestival,,,,,,lobed,,,1-3 times as long as wide,petiolate,,,,,,,,,
1050,Eranthis hyemalis,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,lobed,pointed,length = width,cuneate,petiolate,,,,,,,,,
1051,Fumaria bastardii,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1052,Fumaria capreolata,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1053,Fumaria densiflora,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1054,Fumaria muralis,,,,,,,,,,,,,,,,compound,,,,,,,aestival,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1055,Fumaria occidentalis,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1056,Fumaria officinalis,,,,,,,,,,,,,,,,compound,,,,,4.93,,aestival,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1057,Fumaria parviflora,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1058,Fumaria purpurea,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1059,Fumaria reuteri,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1060,Glaucium flavum,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1061,Hornungia petraea,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,lobed,pointed,>3 times as long as wide,not applicable,petiolate,,,,,,,,,
1062,Jacobaea maritima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lobed,,,,petiolate,,,,,,,,,
1063,Lepidium coronopus,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1064,Matthiola sinuata,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,lobed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
1065,Meum athamanticum,,,,,,,,42.06,16.95121951,,,,,,,compound,,,,,2.46,,,,0.1622,,,,lobed,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,,,,,
1066,Oenanthe aquatica,,,,,,,,,,,,,,,,compound,,,,,,,,,,submerged,,,lobed,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,,,,,
1067,Oenanthe fluviatilis,,,,,,,,,,,,,,,,compound,,,,,,,evergreen,,,submerged,,,lobed,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,,,,,
1068,Papaver cambricum,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1069,Papaver dubium,,,,,,,,,,,,,,,,compound,,,,,,,aestival,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1070,Physospermum cornubiense,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1071,Ranunculus tripartitus,,,,,,,,,,,,,,,,simple,,,,,,,,,,submerged,,,lobed,rounded,length = width,cordate,petiolate,,,,,,,,,
1072,Reseda lutea,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1073,Silaum silaus,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1074,Solanum triflorum,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,,petiolate,,,,,,,,,
1075,Thalictrum flavum,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1076,Trichomanes speciosum,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,lobed,rounded,1-3 times as long as wide,,petiolate,,,,,,,,,
1077,Utricularia intermedia,,,,,,,,,,,,,,,,compound,,,,,,,,,,submerged,,,lobed,pointed,>3 times as long as wide,not applicable,petiolate,,,,,,,,,
1078,Utricularia minor,,,,,,,,,,,,,,,,compound,,,,,,,,,,submerged,,,lobed,pointed,>3 times as long as wide,not applicable,petiolate,,,,,,,,,
1079,Utricularia vulgaris,,,,,,,,,,,,,,,,compound,,,,,,,,,,floating,,,lobed,pointed,>3 times as long as wide,not applicable,petiolate,,,,,,,,,
1080,Pedicularis palustris,,842.8125541,,,,01-Oct,,,,,,,,,,compound,150.23,,,,2.653,,,,0.115,,,,lobed and toothed,rounded,1-3 times as long as wide,not applicable,petiolate,,,,,5.656460095,84.977,,,
1081,Ranunculus acris,,613.7438135,,,1.533333302,01-Oct,,46.8,19.19801223,,,,,,,simple,195.465,,0-2,,2.36,,evergreen,,0.187860281,,,,lobed and toothed,pointed,1-3 times as long as wide,cordate,petiolate,,,,,4.119085997,80.4535,,,
1082,Scabiosa columbaria,,555.3636364,,,1.899305582,01-Oct,,45.52555,34.61041673,,,,,,,simple,211.5384615,,06-Dec,,1.315371333,,evergreen,,0.177176432,,,,lobed and toothed,pointed,>3 times as long as wide,not applicable,petiolate,,,,,3.727272727,78.84615385,,,
1083,Achillea millefolium,,515.0213584,,,1.359861136,01-Oct,,44.902,20.8372093,1.3,,,,,6.08,compound,224.4008161,,36,,2.285362988,,evergreen,,0.218,,,18.30975,lobed and toothed,pointed,>3 times as long as wide,parallel-sided,petiolate,0.348,271.3022787,,,3.456519184,77.55991839,,,
1084,Verbena officinalis,,486.3131796,,,0.979444414,01-Oct,,,,,,,,,,simple,234.53,,,,,,,,,,,,lobed and toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,3.263846843,76.547,,,
1085,Ribes rubrum,,415.0005085,,,1.849444509,01-Oct,,42.61063417,19.58167564,1.66,,,,,7.7,simple,264.225,,,,2.176046369,,aestival,,2.72E-02,,,,lobed and toothed,pointed,shorter than broad,cordate,petiolate,0.142,348.5915493,,,2.785238312,73.5775,,,
1086,Ribes uva-crispa,,385.0896112,,,1.904305577,01-Oct,,,,,,,,,,simple,278.9794029,,,,2.24,,aestival,,0.183,,,,lobed and toothed,rounded,shorter than broad,cordate,petiolate,,,,,2.584494035,72.10205971,,,
